Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2000-01-03,1469.25,1478.0,1438.36,1455.22,1455.22,[],None,0.3539354187689187,0.22073662966700247,0.4253279515640788,,0,0.19149720136816611,0.18982865873622176,0.18753873788036043,0.1890010509632211
2000-01-04,1455.22,1455.22,1397.43,1399.42,1399.42,[],None,0.9655649766395569,0.0,0.034435023360443164,,0,0.18809617887972307,0.18430402464015908,0.17759024255078162,0.1754574602612117
2000-01-05,1399.42,1413.27,1377.68,1402.11,1402.11,[],None,0.07558302894070901,0.31357122787300107,0.6108457431862899,,0,0.17456966035833155,0.1741302581638716,0.17278978365121692,0.17611036812838735
2000-01-06,1402.11,1411.9,1392.1,1403.45,1403.45,[],None,0.0676767676767744,0.42676767676767513,0.5055555555555504,,0,0.17522174521178208,0.1737980040501049,0.17629472630092438,0.176435608478579
2000-01-07,1403.45,1441.47,1400.73,1441.47,1441.47,[],None,0.9332351497299944,0.0,0.06676485027000556,,0,0.17554657558487646,0.18096935743994566,0.17839234454412659,0.18566369662356827
2000-01-10,1441.47,1464.36,1441.47,1457.6,1457.6,[],None,0.7046745303626025,0.2953254696373975,0.0,,0,0.18476303139461314,0.18652066887361,0.18829465824378558,0.1895787166598301
2000-01-11,1457.6,1458.66,1434.42,1438.56,1438.56,['bearish engulfing'],None,0.7854785478547837,0.043729372937300844,0.17079207920791548,,0,0.1886731164080548,0.18513829774333976,0.18658107671254856,0.18495739108695805
2000-01-12,1438.56,1442.6,1427.08,1432.25,1432.25,[],None,0.40657216494845055,0.26030927835051343,0.333118556701036,,0,0.18405761618140076,0.18124340645349044,0.18479700743038122,0.18342584884090649
2000-01-13,1432.25,1454.2,1432.25,1449.68,1449.68,['bullish engulfing'],None,0.7940774487471539,0.20592255125284611,0.0,,0,0.18252800449914308,0.184056652964216,0.1860536338866217,0.1876564005601901
2000-01-14,1449.68,1473.0,1449.68,1465.15,1465.15,[],None,0.6633790737564352,0.33662092624356477,0.0,,0,0.18675322345663148,0.18861605248159866,0.19029019077874385,0.19141122758814863
2000-01-18,1465.15,1465.15,1451.3,1455.14,1455.14,[],None,0.7227436823104615,0.0,0.27725631768953846,,0,0.1905033173907879,0.18671226066184052,0.19068394993911322,0.18898163362888135
