Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2014-09-17,465.864014,468.174011,452.421997,457.334015,457.334015,[],None,0.5415179925563778,0.14664772390375005,0.3118342835398722,,0,0.003963747446443334,0.003487201511567558,0.003947467716561973,0.003830045915373177
2014-09-18,456.859985,456.859985,413.104004,424.440002,424.440002,[],None,0.7409268918002315,0.0,0.2590731081997685,,0,0.0038402395870757743,0.0033333494378580087,0.0033949583650836053,0.003378858289323401
2014-09-19,424.102997,427.834991,384.532013,394.79599,394.79599,[],None,0.6767896425044948,0.08618331053351541,0.2370270469619898,,0,0.003390913461270449,0.0029386574408352658,0.0029934553631919343,0.00297224899538073
2014-09-20,394.673004,423.29599,389.882996,408.903992,408.903992,[],None,0.42591178749201625,0.43073057146569954,0.1433576410422842,,0,0.0029872235757056388,0.0028769345212998395,0.0030686491338175552,0.0031657600738461476
2014-09-21,408.084991,412.425995,393.181,398.821014,398.821014,[],None,0.4813707148274137,0.2255653482892562,0.29306393688333005,,0,0.0031711951959920155,0.002729120536078094,0.0031149937692421825,0.003027457857350638
2014-09-22,399.100006,406.915985,397.130005,402.152008,402.152008,['doji'],None,0.31187494762916107,0.48681654775504923,0.2013085046157897,,0,0.003047948562312846,0.0026541934973157337,0.0031704864845375643,0.0030731471223012555
2014-09-23,402.09201,441.557007,396.196991,435.790985,435.790985,[],None,0.7429224672231152,0.12711684228682865,0.12996069049005612,,0,0.003088989746127244,0.003125254202861057,0.0031573754653647346,0.0035345529767761403
2014-09-24,435.751007,436.112,421.131989,423.204987,423.204987,[],None,0.8375174090326074,0.024098313412453873,0.13838427755493868,,0,0.003550688688670529,0.0030512110975762534,0.0035077702470641546,0.0033619183225888512
2014-09-25,423.156006,423.519989,409.467987,411.574005,411.574005,[],None,0.8242242635604505,0.025902572459071554,0.1498731639804779,,0,0.003377923628468895,0.0028799805378689073,0.003343863859963919,0.003202383055268087
2014-09-26,411.428986,414.937988,400.009003,404.424988,404.424988,[],None,0.4691543329971876,0.23504625398176815,0.29579941302104423,,0,0.0032170646244651826,0.0027632794934813985,0.003210943110029296,0.0031043242380353127
2014-09-27,403.556,406.622986,397.372009,399.519989,399.519989,[],None,0.43627943297231836,0.3315310372082896,0.23218952981939206,,0,0.0031090712308754057,0.00265020919466831,0.0031738872042308404,0.003037045281995911
2014-09-28,399.471008,401.016998,374.332001,377.181,377.181,[],None,0.8353011244483179,0.057934801341743336,0.10676407420993868,,0,0.0030530375800004923,0.0025739770135693044,0.0028501214444135383,0.002730634646867201
2014-09-29,376.928009,385.210999,372.23999,375.46701,375.46701,['doji'],None,0.11263572479210786,0.6385771530958013,0.24878712211209084,,0,0.002743816280267338,0.002359041523479299,0.0028207238187286355,0.002707124864732286
2014-09-30,376.088013,390.97699,373.442993,386.944,386.944,[],None,0.6191393211713238,0.23000973480262282,0.1508509440260534,,0,0.002732294093051225,0.0024374494812072194,0.0028376288120063073,0.002864547915312859
2014-10-01,387.427002,391.378998,380.779999,383.61499,383.61499,['doji'],None,0.35965773749011776,0.3728650224422127,0.26747724006766954,,0,0.0028878304933429495,0.002442916126276608,0.002940730830129482,0.0028188858637110677
2014-10-02,383.988007,385.497009,372.946014,375.071991,375.071991,[],None,0.7103832006944435,0.12022967103405025,0.16938712827150632,,0,0.0028406579541579093,0.002362930787265829,0.0028306450998674807,0.002701706623885402
2014-10-03,375.181,377.695007,357.859009,359.511993,359.511993,[],None,0.7899278372583016,0.12673962762045032,0.0833325351212481,,0,0.0027198526366711373,0.0022568364414700835,0.002618637550339181,0.002488279379269208
2014-10-04,359.891998,364.487,325.885986,328.865997,328.865997,[],None,0.8037612949753079,0.11903837552039487,0.07720032950429719,,0,0.0025101340863547933,0.002077229353195738,0.0021693421297277345,0.0020679264663190327
2014-10-05,328.915985,341.800995,289.29599,320.51001,320.51001,[],None,0.16009854679568086,0.2454053665931472,0.5944960866111719,,0,0.0020852375142345054,0.0017687371406592623,0.0016551674880934063,0.0019533123589484066
2014-10-06,320.389008,345.134003,302.559998,330.07901,330.07901,[],None,0.22760372203648666,0.3536193740758011,0.41877690388771227,389.9103988,0,0.00196827335561769,0.0018140605465353414,0.0018415576850214096,0.002084564644696281
2014-10-07,330.584015,339.247009,320.481995,336.187012,336.187012,['hammer'],None,0.29858741379036313,0.16306926283135245,0.5383433233782844,383.85304865,0,0.0021081178064526747,0.0017340071477880102,0.0020934034732758415,0.002168344477892288
2014-10-08,336.115997,354.364014,327.187988,352.940002,352.940002,[],None,0.6190752466898587,0.05239956717733512,0.32852518613280624,380.27804865,0,0.0021839997538430993,0.0019395734570335109,0.0021876382894692437,0.0023981352847280367
2014-10-09,352.747986,382.726013,347.687012,365.026001,365.026001,['inverse hammer'],None,0.3504099617451984,0.5051517307813654,0.1444383074734362,378.7895492,0,0.0024121399962184612,0.002325249816686403,0.002475697307542202,0.0025639117498023945
2014-10-10,364.687012,375.066986,352.963013,361.562012,361.562012,['doji'],None,0.14137729900412024,0.4695976601129582,0.3890250408829215,376.4224502,0,0.0025759070769546095,0.0022210996948334536,0.002549837406476276,0.0025163982714812012
2014-10-11,361.362,367.19101,355.950989,362.299011,362.299011,['doji'],None,0.08336381222063402,0.43523041460509665,0.48140577317426936,374.59635005,0,0.002530298037435585,0.0021139994247716173,0.0025918254266174092,0.002526507248735241
2014-10-12,362.605988,379.433014,356.144012,378.549011,378.549011,[],None,0.6845730443923683,0.03795795972708515,0.27746899588054647,373.4162002,0,0.002547361764680237,0.0022804704671539316,0.002594537849211065,0.0027493988406887327
